fold,cal_start,test_start,test_end,basket,open_th,close_th,n_trades,sharpe,total_return
1,2016-02-12,2020-01-23,2020-12-10,"SJM,FARM",1.6,0.8,26,0.7393121472027899,0.24573048728543379
2,2017-01-31,2021-01-11,2021-11-29,"JVA,FARM",1.7,0.8,25,0.16833531109990715,0.03129339141063037
3,2018-01-18,2021-12-29,2022-11-16,"SJM,MCD,NSGRY,KO",2.2,0.8,29,-2.224985715585274,-0.21065143060274594
4,2019-01-07,2022-12-16,2023-11-03,"MDLZ,MCD,KO,SJM",2.4,1.1,23,-1.8549737569003308,-0.03010951744967405
5,2019-12-25,2023-12-05,2024-10-22,"KO,NESN,NSGRY,MCD",2.3,1.0,14,-0.9181274216597111,0.014812872465783444
6,2020-12-11,2024-11-21,2025-10-09,"KO,MCD,NESN,MDLZ",1.7,0.7,48,1.578241749097978,0.29012743599061785
7,2021-11-30,2025-11-10,2026-02-12,"JVA,MCD",1.3,1.0,9,-2.9332572524614005,-0.09847914865383511
